Place_ID,Name,Province,Day_Of_Week,Daily_Average_Crowd_Point,Status_Label,Forecast_Text
463548000,Suoi Tien Amusement Park,Ho Chi Minh City,Wednesday,24.96,Comfortable,Usually Comfortable (24.96%) on Wednesdays.
9566542,The Huc Bridge,Ha Noi,Wednesday,33.09,Comfortable,Usually Comfortable (33.09%) on Wednesdays.
704153616,Tonkin Palace,Ha Noi,Wednesday,31.49,Comfortable,Usually Comfortable (31.49%) on Wednesdays.
448044645,Trieu Chau Assembly Hall,Quang Nam,Wednesday,23.59,Comfortable,Usually Comfortable (23.59%) on Wednesdays.
700145152,Vietnam Fine Arts Museum,Ha Noi,Wednesday,40.19,Moderate,Usually Moderate (40.19%) on Wednesdays.
1215518862,Vietnam Military History Museum,Ha Noi,Wednesday,19.23,Empty,Usually Empty (19.23%) on Wednesdays.
339936730,Vietnam Museum of Ethnology,Ha Noi,Wednesday,26.83,Comfortable,Usually Comfortable (26.83%) on Wednesdays.
37933258,Vietnam Museum of Revolution,Ha Noi,Wednesday,50.03,Moderate,Usually Moderate (50.03%) on Wednesdays.
197995330,Vietnam People's Air Force Museum,Ho Chi Minh City,Wednesday,22.03,Comfortable,Usually Comfortable (22.03%) on Wednesdays.
1219524639,Vietnam People's Air Force Museum,Ha Noi,Wednesday,39.16,Comfortable,Usually Comfortable (39.16%) on Wednesdays.
228075195,Vietnam-Soviet Friendship Cultural Center,Ha Noi,Wednesday,38.83,Comfortable,Usually Comfortable (38.83%) on Wednesdays.
704147278,Vietnamese Women's Museum,Ha Noi,Wednesday,29.38,Comfortable,Usually Comfortable (29.38%) on Wednesdays.
186249226,War Remnants Museum,Ho Chi Minh City,Wednesday,43.33,Moderate,Usually Moderate (43.33%) on Wednesdays.
